Incident Type,Incident year,Reported Month,Region of Origin,Region of Incident,Country of Origin,Number of Dead,Minimum Estimated Number of Missing,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Migration route,Location of death,Information Source,Coordinates,UNSD Geographical Grouping
Incident,2014,March,Western Asia,Mediterranean,Syrian Arab Republic,7,2,9,8,1,1,1,Drowning,Eastern Mediterranean,"Waters near Lesvos, Greece",Guardian,"39.398814, 26",Uncategorized
Incident,2014,May,Sub-Saharan Africa (P),Mediterranean,Unknown,17,200,217,226,12,2,3,Drowning,Central Mediterranean,International waters between Libya and Italy,ANSA Med and Relief Web. Also see NYT http://www.nytimes.com/2014/05/13/world/europe/at-least-14-die-as-migrant-boat-headed-for-italy-sinks-off-libyan-coast.html?_r=0,"34.7086, 16",Uncategorized
Incident,2014,June,Southern Asia,South-eastern Asia,Indonesia,9,26,35,62,1,8,1,Drowning,Unknown,Coast of Malaysia - Strait of Malacca,The World Post (Huffington and BIG),"4.66259, 100",South-eastern Asia
Incident,2014,July,Unknown,Mediterranean,Unknown,4,21,25,13,1,2,1,Drowning,Eastern Mediterranean,Aegean Sea,Greek Reporter,"37.862031, 26.921962",Uncategorized
Incident,2014,August,Caribbean,Caribbean,Cuba,11,6,17,15,1,1,1,Mixed or unknown,Unknown,Off Mexican coast,Yahoo! News,"23.6244, -86.2866",Caribbean
Split Incident,2015,August,Mixed,Mediterranean,"Syrian Arab Republic,Unknown",27,200,227,373,4,2,2,Drowning,Central Mediterranean,"About 16 miles north of Libya, in the Channel of Sicily",IOM Rome,"34.289, 12.7661",Uncategorized
Split Incident,2015,September,Western Asia,Mediterranean,"Syrian Arab Republic,Unknown",7,3,10,7,2,3,4,Drowning,Eastern Mediterranean,"Bodrum district of Muğla province (04:13h), en route to Kos",IOM Türkiye,"37.2028822, 28.311496",Uncategorized
Incident,2015,September,Western Asia,Mediterranean,"Iraq,Syrian Arab Republic",34,4,38,99,15,15,15,Drowning,Eastern Mediterranean,Near Farmakonisi,"Reuters and Associated Press, also IOM Athens","37.2948, 27.1199",Uncategorized
Incident,2015,December,Western / Southern Asia (P),Mediterranean,Unknown,17,8,25,26,6,4,6,Drowning,Eastern Mediterranean,"off the coast of Farmakonisi, Greece",Hurriyet Daily News and New Europe,"37.469404, 27.027424",Uncategorized
Incident,2015,December,Western / Southern Asia (P),Mediterranean,Unknown,13,1,14,15,2,4,7,Drowning,Eastern Mediterranean,off the coast of Farmakonisi islands,Hellenic Coast Guard via IOM Athens,"37.2954, 27.1127",Uncategorized
